id,rarity,generation,mainClass,subClass,statBoost1,statBoost2,profession,summons,maxSummons,soldPrice,timeStamp
105088,uncommon,1,Monk,Wizard,LCK,END,fishing,9,10,140,2022-01-28 00:01:13
105200,common,2,Monk,Priest,AGI,AGI,fishing,5,5,"57,99",2022-01-28 00:01:03
105742,uncommon,1,Pirate,Pirate,LCK,VIT,fishing,9,10,114,2022-01-28 00:00:36
104411,uncommon,1,Summoner,Wizard,LCK,WIS,foraging,4,5,250,2022-01-28 00:00:15
85785,uncommon,1,Ninja,Knight,DEX,DEX,fishing,4,5,250,2022-01-27 23:59:56
62619,uncommon,2,Pirate,Summoner,AGI,VIT,gardening,6,6,50,2022-01-27 23:59:25
26869,common,2,Warrior,Priest,WIS,WIS,gardening,4,4,55,2022-01-27 23:58:27
60724,common,1,Knight,Warrior,STR,STR,foraging,3,10,55,2022-01-27 23:57:59
105996,common,3,Warrior,Knight,END,END,mining,4,4,108,2022-01-27 23:57:57
82161,common,4,Knight,Archer,WIS,LCK,gardening,0,0,"51,87",2022-01-27 23:56:42
84784,common,6,Dragoon,Priest,INT,WIS,fishing,0,1,99,2022-01-27 23:56:34
88616,common,1,Pirate,Pirate,WIS,LCK,foraging,5,10,50,2022-01-27 23:56:12
90983,uncommon,1,Priest,Thief,DEX,AGI,gardening,4,10,"66,6",2022-01-27 23:55:10
94676,common,1,Monk,Monk,LCK,INT,foraging,5,10,"48,8",2022-01-27 23:55:08
88210,common,1,Pirate,Pirate,LCK,STR,fishing,10,10,"104,9",2022-01-27 23:54:54
12092,uncommon,2,Wizard,Pirate,VIT,LCK,gardening,5,7,75,2022-01-27 23:54:10
104804,common,2,Thief,Warrior,LCK,END,gardening,8,8,48,2022-01-27 23:52:27
86864,common,2,Ninja,Wizard,END,VIT,foraging,0,5,60,2022-01-27 23:52:22
99262,uncommon,2,Monk,Priest,END,WIS,gardening,8,8,"59,89",2022-01-27 23:51:41
105277,uncommon,2,Knight,Pirate,INT,WIS,gardening,8,8,50,2022-01-27 23:50:13
106290,common,2,Monk,Wizard,INT,INT,gardening,5,5,45,2022-01-27 23:49:33
98488,uncommon,2,Wizard,Warrior,INT,STR,foraging,8,8,79,2022-01-27 23:47:15
22438,common,3,Thief,Wizard,END,WIS,fishing,5,6,95,2022-01-27 23:46:50
97642,common,2,Knight,Warrior,INT,LCK,mining,0,4,"73,9",2022-01-27 23:46:13
82122,common,1,Monk,Knight,STR,STR,foraging,9,10,90,2022-01-27 23:45:59
106245,common,1,Pirate,Thief,INT,VIT,mining,9,10,125,2022-01-27 23:44:35
87966,common,1,Thief,Priest,DEX,INT,fishing,5,10,49,2022-01-27 23:43:52
104970,common,2,Warrior,Priest,STR,INT,foraging,7,7,50,2022-01-27 23:43:21
102486,uncommon,2,Wizard,Thief,DEX,WIS,foraging,5,5,60,2022-01-27 23:42:14
104480,uncommon,1,Wizard,Pirate,VIT,DEX,mining,10,10,135,2022-01-27 23:36:29
97622,uncommon,2,Pirate,Monk,WIS,INT,fishing,7,7,"64,8",2022-01-27 23:35:47
104842,uncommon,1,Priest,Thief,DEX,AGI,mining,9,10,110,2022-01-27 23:34:27
42497,common,1,Pirate,Pirate,WIS,DEX,foraging,4,10,55,2022-01-27 23:34:16
56156,uncommon,4,Paladin,Wizard,VIT,WIS,mining,0,0,140,2022-01-27 23:32:31
96189,uncommon,2,Monk,Knight,LCK,AGI,fishing,9,9,89,2022-01-27 23:32:16
72182,common,3,Sage,Wizard,AGI,STR,foraging,0,3,119,2022-01-27 23:28:25
90102,uncommon,6,DarkKnight,Pirate,WIS,VIT,mining,0,0,118,2022-01-27 23:27:00
73554,uncommon,3,Archer,Archer,INT,VIT,fishing,2,2,50,2022-01-27 23:25:06
95270,uncommon,4,Ninja,Knight,WIS,AGI,foraging,2,4,77,2022-01-27 23:24:02
94556,common,1,Paladin,Monk,END,STR,foraging,1,5,78,2022-01-27 23:23:52
70739,common,1,DarkKnight,Thief,VIT,WIS,fishing,1,5,78,2022-01-27 23:23:21
33145,rare,3,Warrior,Priest,WIS,AGI,gardening,0,6,"64,9",2022-01-27 23:23:13
39026,common,2,Pirate,Wizard,AGI,END,mining,6,8,75,2022-01-27 23:22:35
87383,common,2,Summoner,Pirate,LCK,WIS,fishing,1,5,69,2022-01-27 23:21:46
102114,rare,3,Knight,Knight,VIT,WIS,mining,5,5,195,2022-01-27 23:19:38
100266,common,2,Warrior,Priest,WIS,INT,foraging,8,8,50,2022-01-27 23:19:13
105891,common,2,Pirate,Thief,STR,INT,gardening,2,2,"44,51",2022-01-27 23:18:16
16067,uncommon,2,Archer,Archer,VIT,LCK,mining,6,9,70,2022-01-27 23:16:50
52284,common,2,Knight,Warrior,DEX,LCK,mining,4,9,90,2022-01-27 23:15:55
78542,common,3,DarkKnight,Wizard,END,VIT,foraging,1,3,64,2022-01-27 23:15:32
74148,common,4,Paladin,Monk,END,INT,foraging,1,2,61,2022-01-27 23:14:17
65610,uncommon,1,Summoner,Knight,DEX,LCK,gardening,2,5,74,2022-01-27 23:14:03
106295,common,2,Priest,Knight,AGI,END,fishing,6,6,"46,4",2022-01-27 23:13:41
100614,uncommon,2,Summoner,Knight,END,AGI,gardening,1,4,69,2022-01-27 23:13:37
81061,common,1,Thief,Archer,WIS,DEX,gardening,9,10,86,2022-01-27 23:08:56
103555,rare,3,Thief,Pirate,INT,AGI,foraging,7,8,65,2022-01-27 23:08:38
57214,uncommon,1,Monk,Wizard,AGI,LCK,foraging,5,10,68,2022-01-27 23:08:27
35009,common,5,Dragoon,Archer,INT,DEX,gardening,0,1,130,2022-01-27 23:08:25
106053,rare,3,Priest,Thief,INT,WIS,mining,4,4,76,2022-01-27 23:07:57
15505,legendary,2,Thief,Pirate,LCK,STR,fishing,3,8,220,2022-01-27 23:06:11
98537,legendary,3,Pirate,Knight,END,DEX,mining,1,1,200,2022-01-27 23:06:04
105532,common,3,Thief,Monk,WIS,STR,gardening,6,6,45,2022-01-27 23:05:26
105213,common,5,Summoner,Pirate,INT,AGI,gardening,1,1,59,2022-01-27 23:05:26
99849,common,3,Ninja,Monk,END,VIT,fishing,1,1,78,2022-01-27 23:04:55
105768,common,2,Priest,Knight,AGI,END,foraging,6,6,46,2022-01-27 23:04:31
98572,uncommon,5,Sage,Priest,WIS,VIT,fishing,1,1,"313,85",2022-01-27 23:04:19
104611,uncommon,3,Knight,Thief,INT,STR,foraging,6,6,48,2022-01-27 23:04:16
49275,common,2,Knight,Summoner,END,WIS,gardening,5,9,55,2022-01-27 23:01:09
